document,lineNum,numSegs,seg1,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12,seg13,seg14,seg15,seg16,seg17,seg18,seg19,seg20
urd-WL-86-174276-11370234-post5,1551,5,-آدم سانگھڑ،مہر۔,جہاں تک الزامات کا تعلق ہے تو کوئی بھی انسان دوسرے پہ لگا سکتا ہے,عزت سے بڑھ کے کوئی چیز نہیں ہے,موجودہ بیوی اور عدنان سمیع کے تعلق کچھ بھی ہوں عدنان سمیع اپنی عزت کی زندگی چھوڑ کر پیسہ کمانے بھارت گیا تھا،اب وہی شہرت اس کے گلے پڑگئی ہے,یہ اس کی اپنی حرکتوں کا خمیازہ ہے,,,,,,,,,,,,,,,
urd-NG-102-174502-11516161-post36,1120,5,اقوامِ متحدہ کی سلامتی کونسل نے جماعت الدعوہ پر پابندی عائد کر دی ہے، آخر سلامتی کونسل کے پاس کيا ثبوت ہيں جس پر اسنے اتنی عجلت دکھائی؟,کيا سلامتی کونسل ہميشہ مسلمانوں کے خلاف اتني مستعدی نہيں دکھاتي؟,اس کو کہتے ہيں کہ مدعی سست گواہ چست!,ديکھا جائے تو بھارت خود ہی ايک ناکام رياست بن چکا ہے!,جس کی انٹيليجنس، فوج اور دوسرے سکيورٹی ادارے ناکام ہو چکے ہيں، جو چند دہشتگردوں کے ہاتھوں 72 گھنٹے تک تگنی کا ناچ ناچتے رہے اور بھارت اپنی اس ناکامی کا الزام پاکستان پر ڈال کر پوری دنيا کو دھوکہ دے رہا ہے۔,,,,,,,,,,,,,,,
urd-WL-78-174262-11377692-post3,1415,5,یہ سارے حکمران ایک بریف کیس اٹھا کر بھاگنے والے ہیں، انکو کیا، ملک رہے یا نا رہے۔,عوام منجن بیچے یا لیموں کا چھلکا لے کر مندروں کی گھنٹیاں مانجھ رہی ہو۔,ایک تو ہمارا میڈیا بھی حکمرانوں کی طرح حرام خور ہے۔,اسکا مقصد صرف اور صرف حکومت سے پیسے بٹورنا ہے اور کچھ نہیں۔,رہی عوام تو وہ رہی جاہل اسکے بارے میں بات کرنا اس سے بڑی جہالت,,,,,,,,,,,,,,,
urd-WL-86-174276-11370245-post2,1613,5,-عثمان آفتاب۔,میرے خیال میں بڑی طاقتیں ہیں وہ پاکستان کو مکمل نقصان پہنچانا نہیں چاہتیں ہیں,بلکہ اسے قابو میں رکھنے کے لئے کچھ اقدامات کا سوچ رہی ہیں انہیں معلوم ہے کہ پاکستان ایک ایٹمی قوت ہے,یہاں کوئی انقلاب کی صورت پیدا کرنا چاہتے ہیں,بیرونی ممالک یہی سوچ رہے ہیں کہ پاکستان کو کارنر کرنے سے سیاسی جغرافیائی طور کچھ مشکلات ہوسکتی ہیں پاکستان کی مدد کرنا بھی چاہتے ہیں اور اپنا مقصد بھی پورا کرنا چاہتے ہیں,,,,,,,,,,,,,,,
urd-WL-86-174276-11370245-post11,1595,5,-ملک یوسف، دوبئی۔,یہ سب انہی لوگوں کا کیا دھرا ہے کشمیری پچھلے ساٹھ سال سے آزادی کی جنگ لڑ رہے ہیں ا,نہیں کسی نے نہیں پوچھا اب وہی انتہاپسندی اور دہشت گردی کی جنگ مین پھنس چکے ہیں تو صلح صفائی کی باتیں شروع کردی گئ ہیں,پہلے مسلمانوں کا قتل عام کیا اب معاملات سلجھانے کی چکر میں ہیں,بہر حال پاکستان کو ان کی دوغلی پالیسی کو سمجھنا ہوگا،,,,,,,,,,,,,,,,
urd-NG-102-174502-11516125-post45,932,5,دنيا کے نام نہاد منصفوں اور امن کے نام پر قتل وغارت گری کرنے والوں کو يہ بات اچھی طرح سمجھ لينی چاھيے کہ دنيا ميں امن صرف اور صرف انصاف دينے سے ھي قائم ھوسکتا ھے ناکہ نا انصافی اور نسل کشی سے۔,اگر نسل کشی سے ھی کسی قوم کو ختم کيا جا سکتا اوراپنی مرضی کے نتائج حاصل کيے جا سکتے تو ھٹلر کے اقدامات کے بعد يہوديوں کا نہ صرف وجود برقرار ھونا بلکہ ايک طرح کا عروج آج ناممکن ھوتا۔,بقول شاعر,ظلم پھرظلم ھے بڑھتا ھے تو مٹ جاتا ھے,خون پھرخون ھے گرتا ھے تو جم جاتا ھے,,,,,,,,,,,,,,,
urd-NG-102-174502-11516154-post42,1079,5,اللہ کرے ہمارے ملک پاکستان پر کبھی بھی کوئی آنچ نہ آئے، آمين۔,مگر صاحب ذرا آنکھيں کھول کر اپنے ارد گرد کے حالات اور زمينی حقائق کو ديکھيں تو آپ کو نظر آجائے گا کہ امريکی افواج کہاں تک پہنچ گئی ہيں۔,اسکے علاوہ ملکی معاملات بھی درست نظر نہيں آرہے ہيں، سرحد، بلوچستان اور سندھ ميں کراچی کے حالات بھی آپ کے سامنے ہيں۔,ايسی صورتحال ميں ملک کو ايک ايسے ليڈر کی ضرورت ہے جو ہميں ايک متحد قوم بنا سکے۔,يا اللہ ہم پہ رحم فرما۔,,,,,,,,,,,,,,,
urd-WL-83-174268-11364081-post1,1459,5,مسلمانوں میں پیدا ہونے سے پہلے بات پکی کرنے کا رواج، جائیداد سمیٹنے کے نام پر قرآن سے شادی کرنے کا رواج، اور کئی مفتیوں کا اس بات پر اسرار کہ لڑکی آٹھ سال میں عاقل اور بالغ ہو جاتی ہے، ہی کم نہیں تھا، کہ ہندوستان میں مینڈک کے ساتھ لڑکی کی شادی خبر آ گئی۔,دلہا کی شادی کے موقع پر لی گئی تصویر دیکھیں۔,اسی سے کچھ عرصہ قبل ایک کتے کے ساتھ لڑکی کی شادی بھی تازہ ہو گئی۔,وہ دلہا بھی دیکھیں۔,انسانیت اکیسویں صدی میں بھی ناپید ہے۔,,,,,,,,,,,,,,,
urd-NG-102-174502-11516146-post77,1031,5,ميں تو صرف يہ پوچھنا چا ہو نگا کہ جب ايک پورے دن تک يہ لاش لٹکتی ری تو فوج والے کيا کر رہے تھے کيا وہ صرف عام لوگوں کو نشانہ بنانے کيلے وہاں بيھٹے ہيں جو بيان بھی کچھ اسطرح کرتے ہيں’طالبان کے ٹھکانوں پر بمباری، مکان پرگولہ گرنےسے 2 بچے اور انکی ماں ’ہلاک‘۔,کيا انہں اس چوک کے بارے ميں پتہ نہيں تھا؟,يا تماشہ ديکھ رہے تھے؟,ہم ہاتھ جوڑ کر منت اور التجا کرتے ہيں کہ خدا کيلیے يہ گيم بند کر ديجيے۔,آخر آپ کے اوپر بھی ايک حکمران ہيں۔,,,,,,,,,,,,,,,
urd-NG-102-174502-11516101-post94,776,5,اس تبدیلی سےجنوبی ایشیا پرکیا اثرپڑے گا اورکیا اس حوالےسےامریکی پالیسی میں معنی خیز تبدیلی کی توقع کی جا سکتی ہے۔,پاکستان اور امریکہ کے تعلقات پر یہ تبدیلی کیسےاثرانداز ہوگی۔,` (بی بی سي),جنابِ من، اوباما ہو يا کوئی اور، پُوری دُنيا کی بابت پاليسی و تعلقات کی نوعيت کا تعين تو کھرب ہا پتي، با اثر، مضبوط اور اثر و رسوخ کی حامل يہودی لابی ہی کرتی ہے۔,اور جہاں تک پاکستان کا تعلق ہے، حاليہ ممبئی دھماکوں کے سلسلے ميں بھارت، اسرائيل اور امريکہ تکون کا جارحانہ رويہ پوری دنيا کے سامنے ہے۔,,,,,,,,,,,,,,,
