lineNum,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
1,France has supported the proposal.,The Chairman of the Committee of the Summit&#44; Mushahid Hussain Syed said in the Committee meeting on Friday at the Parliament House about the proposal on the relief goods to Palestine and that a Parliamentary delegation has been sent.,After the meeting&#44; Mushahid Hussain Syed said to the representatives of media that the Committee at France has welcomed the proposal for the relief work for the affected people in the Gaza Strip.,He said that the Israeli attack is a crime on humanity and that all the countries should condemn the attacks.,Mushahid Hussain while criticizing the world to double standards said that the people should be against terrorism&#44; but they are still against the Palestinians in the attacks.,The foreign affairs Minister in the Senate Standing Committee Chairman and the leaders of the Muslim Ummah were also criticized.,He said that the Committee expressed hope that the newly elected President of the United States Barak will address the Muslim Ummah in his first one hundred days.,Mushahid Hussain Syed said that Muslims and the West would give not only the emergency steps for Kashmir but also for the long standing problems like Palestine.,Imaduddin Khan&#44; the Minister of External Affairs and the state of the committee said that Saudi Arabia attended the meeting for the foreign ministers of the Islamic countries of the Organization.,The emergency meeting by Israel as the result of the attacks was summoned. He said that the fashion of Palestine is aware and that the Government of other countries should be in touch with leaders in this regard.
11,The Minister of External Affairs of state said that the Palestine issues should be resolved according to the UN resolutions .,Two journalists from Arab countries attended the meeting on the latest situation of Palestine.,On the other hand&#44; the International University students went on a protest at Islamabad against the Israeli attacks on Palestine.,The demonstrators also raised banners and slogans against Israel.,In order to be safer from flu quit dieting.,According to the American Scientist this research has come out after much experimentations on rats.,Experimentaions have proved that those rats on less calories diet have developed a tendency of not overcoming the flu virus .,This Research has proved the very old saying wrong that it is good to starve while in fever.,According to the scientist a patient should eat more while in fever.,According to the Researchers of the State of Michigan University diet taking rats have less strength to fight with the infection and also their chances of death increased whereas earlier those rats on common diet had more strength to fight with the flu virus.
21,According to the Professor Elizabeth Cardener The people on dieting will be more infectious to the flu virus and will also take long time to recover from this disease.,HE also says that those people who have taken Flu vaccinations also should quit dieting during few months of summer to keep this virus away.,The first nuclear test was in 1990.,Thomas red who was a former director of the Cooperation in the National Laboratory technical committees in Los Angeles&#44; United States has written this book.,The book with the title &#39;nuclear express the political history: bomb and the proliferation&#39; was written by two writers says that the country has also tested the atom bomb and has nuclear secrets.,Thomas red has said in an interview to the USAID news in 1970 that when Benazir Bhutto was the leader in Pakistan in 90&#39;s&#44; China had tested its first nuclear bomb experiment.,Thomas red said that there are many reasons to believe China has tested its first nuclear bomb.,There are informations that China has scientists who had designed the bomb.,He further said that this was the reason why India and Pakistan tested the nuclear bomb in 1990 within just two weeks.,Thomas Red has reminded that in 1970 Russia did a nuclear test in response to the United States within 17 days though United States took long time for the test.
31,He further said that in May 1998&#44; Pakistan has mentioned about the atom bomb experiment in the Pakistani scientists confidence.,When Thomas red was questioned about the nuclear technology that China has provided to Pakistan&#44; he said in response that they have the common enemy India.,He said that the proof is with the Chinese designer Dr. Khan after which the documents from Libya in this connection have been confirmed.,The question of the nuclear tests are by the United States and the British in the deserts.,He said that Israel has also experienced the results.,To Thomas red the question about China&#39;s nuclear program is the proliferation.,Thomas red said that from 1970 to 1991 the Iranian city of China has set up the nuclear installation for the raw material and to provide instructions.,In addition to this&#44; China has also provided an Uranium plant to Iran.,He said that there are relations between China&#44; North Korea&#44; Iran&#44; Syria&#44; Egypt&#44; Libya&#44; Pakistan and Yemen providing nuclear technology.,2008 The best year for Madonna
41,This show was arranged on the basis of Madonna&#39;s &#39;album Hard Candy&#39; and it also included few songs with Gypsy or Nomadic band of Ukraine and Justin Timberland.,An old racing car was also placed on the stage in the show.,The second successful show of the year 2008 by profit was Celine Dion who earned 236&#44;600&#44;000 dollars.,Canadian show &#39;Taking Chances&#39; toured 24 countries whereas Madonna went to 17 countries which is her first tour in previous 8 years.,The director for both singers was Jimmy King&#44; who also organized the &#39;Reunion&#39; tour of &#39;Spice Girls&#39;.,Madonna has broken her own record of the year 2006.,In 2006 she earned 193&#44;700&#44;000 dollars through &#39;Confession Concerts&#39;.,Pollster has awarded Bon Jovi as the third most successful singer who earned 176&#44;000&#44;000 dollars.,Bruce Springsteen was on number 3 by earning 166&#44;000&#44;000 dollars and Police get the 5th position by earning 120&#44;600&#44;000 dollars.,According to this periodical in 2008 very few people participated in singing programs and concerts in North America and only those people attended the programs who were ready to buy expensive tickets.
51,In America a ticket is increased by an average of 8 percent by cost yearly&#44; Most expensive ticket was sold of 300 dollars at Madonna&#39;s show.,The editor of Pollster Gary Bongioni said in prospect of international financial crisis year 2008 proved to be good.,He predicted 2009 a good year for U2 and Springsteen whose albums are about to release.,Ban on coeducation: Taliban,Local Talibans of Gul Bahadur group have distributed a pamphlet in Miran Shah (Capital of Southern Waziristan) and in other Tehsils in which government and semi government coeducational institutes have been threatened.,Pamphlet included that if coeducation institutes are not closed till 5th of January&#44; action will be taken against them.,Pamphlet said that women are banned to have ID Cards for government aid and for educational purposes and women are prohibited to go to NADRA&#39;s Offices in all Tehsils.,The announcement on the ban of women ID Card has been made at the time when almost 200 women have submitted forms in NADRA Offices in Southern Waziristan for Benazir Income Support Program.,According to local people the pamphlet issued by Taliban was announced on the loudspeakers of all the Masjids.,However it was not mentioned in the letter that separate educational institute for woman are banned or not.
61,According to Pamphlet after this announcement any woman caught in the school for getting education or in NADRA&#39;s Office for having ID Card will be punished religiously along with her family.,Moreover Police of District Bannu says on Sunday a landmine exploded on Miram Shah Bannu Road in result of that a traveler died and one is injured.,Injured has been admitted in Civil Hospital.,More bodies were recovered from the target killings.,According to the police&#44; it was on Sunday morning at the Green Chowk Mingora areas Sohrab Khan Chowk that two bodies were moved to the head off.,The Police said that they were killed in the Frontier Corps.,The dead bodies were found at 11 pm and witnesses say that a letter was there near the dead bodies which said that they themselves are responsible for their deaths.,Local people say that at around 11 pm dead bodies were lying in the market. But however the security personnels have shifted the two bodies.,Incidents of target killings have increased to a dangerous extent in the location of Mingora and the near areas during the last few weeks.,In which it is mostly common citizens including women and security personnels were killed.
71,According to the local sources&#44; such incidents involve more than 30 people in the operation.,So far no organization has owned the responsibility for the killings.,On Saturday the spokesman of Taliban told BBC in the local Taliban Swat Muslim Khan that three bodies of his colleagues were found on Friday which included that of the Taliban commander Rafi.,Muslim Khan said that Rafi was under the custody of the security forces for the last one and a half months.,He said that when the local Taliban killed they first issued a notice on the other hand. This has put the common citizens in the Mingora area to anxiety.,The local people in Mingora said that a large contingent of security forces are deployed to control the attacks. But in spite of this&#44; attack of citizens have increased.,A musical tribute to Benazir by Bakhtawar,A rap song (a modern music genre) recorded in Bakhtawar&#39;s voice is now posted on YouTube.,The song is of five minutes duration and portrays Benazir&#39;s life through pictures and clips.,The eighteen years old singer is a student of Edinburgh University.
81,She has a deep interest in singing and poetry.,It is believed that she started singing after being encouraged by her mother and that too only as a hobby.,She paid tribute to her mother and said that she was both intelligent and beautiful and that she did everything in her own way.,Talking about the incident of 27th December she told that her mother was shot on the temple. She died at an age of 54 and left behind 3 children.,The whole nation is seeking its direction without her and she is present in everyone&#39;s heart.,Miss Bakhtawar is the second child of Benazir Bhutto behind her 20 years old brother&#44; Bilawal Bhutto.,She has been taking a keen interest in music from the start.,Its believed that before her mother&#39;s return to Pakistan&#44; she tried to have a meeting arranged with the Grammy Award winner music producer and rapper Puff Daddy through a friend&#44; who is a journalist but this meeting never took place.,Miss Bakhtawar&#39;s poetry has been translated and published in some Sindhi Newspapers&#44; but this is the first time that her voice is being heard through YouTube.,The workers and followers of Benazir Bhutto have started recording CDs of her song.
91,Mr. Farhatullah Babar&#44; spokesman of Pakistan Peoples Party has confirmed that both the song’s poetry and vocals on YouTube are performed by Bakhtawar.,He was speaking on phone from Islamabad and said that it is a tribute of a grieve stricken daughter to her courageous mother and has been aired by Pakistan Television&#44; the national television network of Pakistan.,He further stated that the Peoples Party has not made any plans to distribute the music CDs by Miss Bakhtawar as yet.,He said that a few months back a fake account of the young Bilawal Bhutto Zardari&#44; the chairman of Pakistan Peoples Party&#44; was made on the website of FaceBook which was later closed down.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
101,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,Rocket Fire from Lebanon too&#44; and bombing in response.,Israeli Army and Police officials have informed the press that four rockets were launched from Lebanon on to Israeli land&#44; one of which hit the Northern part of Israel in Naharia&#44; which injured two people.,In response to the rockets launched from Lebanon&#44; Israeli tanks bombed Lebanon.,It&#39;s not certain that this attack was Hezbollah related or if aggravated Palestinian terrorists are behind this.,The Lebanese government has said that they are also trying to investigate who is behind these rocket attacks.,The reporters of BBC have declared this an entirely volatile and dangerous situation.,According to the Head of the Middle East sector of BBC&#44; Jeremy Button&#44; these rocket attacks have increased the chances of spreading the war.
111,In the past few days&#44; it is feared that the Investigation in Gaza might reach to the Northern part of Lebanon and to the Israeli border.,Israeli forces have executed around 60 aerial attacks on the Gaza strip between Wednesday and Thursday night.,According to the Israeli army&#44; the Hamas Police offices&#44; tunnels&#44; weapon stores&#44; rocket launching areas and armed individuals were targeted in these attacks.,Aside from Aerial attacks&#44; Gaza was also bombed all night from the Israeli and Bahria tank bases.,Palestinian sources say that a mosque was destroyed in these aerial attacks on Gaza.,According to some unverified sources&#44; Israeli tanks are closing in on the area of Khan Younis with aerial help from helicopters.,In the last twelve days&#44; around 700 Palestinians have been killed&#44; a majority of which have been women and children.,On the other hand&#44; 11 Israeli soldiers have also lost their lives.,Israeli Security Forces have confirmed that a high ranked officer&#44; Amos Gailad&#44; has left for Cairo to discuss conditions of a ceasefire.,A member of Hamas is also leaving to Cairo to have talks with the Egyptian Ambassador.
